miRNA	ZhouCB1_NS	ZhuCB12_NS	SunCB13_NS	YangCB14_NS	JiangCB15_NS	LuCB16_NS	DaiCB41_NS	JiangCB42_NS	FengCB50_NS	Su6B4_NS	Pan6B35_NS	Li6B36_NS	Zhao6B37_NS	Tang6B39_NS	Chen6B40_NS	Chen7B3_NS	Yang7B6_NS	Yu7B7_NS	Li7B8_NS	Chen7B9_NS	Jin7B32_NS	Lu7B34_NS	Pan8B10_NS	Hu8B28_NS	Liu8B30_NS	Zhou8B31_NS	Xi9B2_NS	Guo9B5_NS	Fang9B21_NS	Ye9B27_NS	Dai7b19_NS	Li7B48_NS	Zhang8B22_NS	Liao8B24_NS	Wu8B25_NS	Chen8B44_NS	Li9B18_NS	Xu9B46_NS
hsa-miR-16-5p	-0.658809677	-0.665258796	-1.159686976	0.998236973	0.388868812	0.3565125	-1.057041163	0.828175442	0.718519946	0.744932719	0.507625128	-0.306326646	1.613635071	-0.085286051	-1.00890205	0.935037522	0.905171918	0.817342048	1.845078452	2.104948804	1.298561671	1.088592157	1.98874228	0.461608228	1.132242384	1.385550411	1.35522624	2.147660106	2.265242989	-0.005582801	2.086753377	0.67315983	1.242389803	0.704800283	-0.762563342	2.967203262	0.265471917	0.353500029
hsa-miR-4257	0.269856398	-1.828641109	-1.851564829	1.185180014	0.205040892	0.819814158	1.073476438	0.957374135	-1.378188899	0.670940357	-1.062005753	2.574383231	1.902038569	1.37186504	0.753439442	4.725588207	2.549994258	0.960725089	1.767547727	-0.595453395	1.939562371	1.279466938	2.102967544	1.011094217	0.396684647	-0.722959997	3.639699128	1.512891298	1.416087161	0.518659647	0.19255753	3.663487067	0.934288905	0.947786762	1.821622822	3.836041331	0.615969042	3.298103831
hsa-miR-324-3p	2.972034975	-2.40446112	2.057132366	0.347818169	-0.707329498	0.293389223	-1.002367253	-0.492515129	-2.187920159	2.269612548	1.116428192	0.864608797	3.785355517	0.257382783	0.164238107	5.69943052	0.217326544	2.271644985	1.61445488	3.034500309	0.89447131	2.242662352	3.4730374	-0.611684348	0.439023177	1.031985181	2.208322029	4.193672614	3.588983572	0.798325287	1.522946537	-1.758687648	1.715725454	0.479556139	0.121800484	2.396444859	2.42747082	-2.38090038
hsa-miR-937-5p	0.161232543	-1.123559131	-0.452252185	-0.496045192	0.767889554	0.062126206	1.091067095	1.033657565	-1.317051494	0.473209496	0.300353097	1.07940253	1.19916878	0.898104676	1.527673427	-0.114584732	2.437752483	0.725369566	1.470368175	0.332730316	1.282648615	1.225939467	1.010460701	1.605936846	0.771366661	0.569449534	1.111410619	0.584637692	0.216442412	1.519562186	0.033231689	3.200455767	0.279822395	0.637911959	1.266327761	1.454538617	-0.005530164	3.553228141
hsa-miR-1290	1.005638551	-0.667958587	-1.228301288	-0.043684997	-0.212304763	-0.981017763	0.928440772	-0.275974055	1.199266203	2.000463362	-0.282767408	0.013032011	0.110153629	0.396764717	2.816019521	0.138679016	0.8107623	1.791754439	1.594342568	1.207557972	1.496398625	0.116693326	0.441655058	0.142895135	0.495091257	1.226546107	-1.665489463	0.755861498	1.16139517	1.805278751	0.382449147	0.6575781	0.014695981	2.870005351	3.154581306	0.563317524	0.478569608	3.174827939
hsa-miR-26a-5p	0.549629438	-1.266413037	-1.362830413	0.157369928	-0.730098429	0.273191332	1.461404675	-1.20161623	1.653434115	4.594155917	-0.609830235	3.102265403	1.80372993	1.310874772	-0.629615469	2.017872042	0.695682831	1.859451364	2.835678273	4.272390955	0.3348705	-0.244972755	2.302097298	1.988138703	1.053913833	-2.740478998	2.86380757	0.633353863	1.741950812	-1.133614033	0.00444648	-0.079583872	0.428485308	0.139688962	1.083120798	1.427276186	2.339090025	-1.04815579
hsa-miR-150-5p	-2.682331068	-2.434398169	1.267031165	1.879535209	1.760127956	-0.160687693	-3.249231566	0.941154215	1.498499469	3.700138447	0.173545594	4.195989444	2.99446652	3.559305971	0.924936927	3.818278224	1.700330501	4.47366225	4.006497032	4.441411204	1.054583102	3.422015835	3.782303776	3.939427125	-1.081559178	-0.381730347	3.290264766	5.122628202	3.832812652	4.418362956	2.085935017	-3.594023411	1.980211346	1.091466736	2.434843004	-3.493083125	3.904295745	-3.774117422
hsa-miR-4481	0.226916774	-1.164329662	-0.004952464	-1.021772079	-0.848655129	-0.422289649	1.621836842	1.212637028	0.073839592	-0.184052083	2.122720105	1.189237105	3.195743323	1.405546638	1.49459349	-1.392137806	-0.685455289	0.047282118	2.721205237	-0.798964532	2.888624017	2.804723916	-0.662940686	2.725904611	1.529524391	3.145055026	0.085427894	-0.058284777	-0.484745295	1.584877421	-1.016802624	3.322565384	0.430084472	1.648694835	2.209962123	2.393776119	-0.222952287	1.103078543
hsa-miR-181a-5p	0.764937595	-2.547787494	1.013386029	0.972897703	-1.159372805	-0.581883071	1.051932353	-0.753381505	-1.71228059	4.969320211	1.270660183	1.984322288	3.07726395	1.270760472	0.408762675	1.422618049	1.705351301	1.533525977	6.044891273	5.32345882	1.157495111	0.596992828	2.787685999	0.27917735	0.801699124	0.264226113	2.642376968	1.253964506	2.665484742	0.138784833	0.843089777	2.118537935	0.680670257	-0.217188558	1.157948774	-0.2628912	1.939025024	1.234873453
hsa-miR-10a-5p	1.083256643	-1.156402837	-3.41790822	1.202944814	0.688501257	-1.059993896	-0.422255084	0.648397291	1.131018482	4.760267686	0.797055776	2.802072815	-0.509304506	2.823661888	-0.14318445	1.658656878	1.17386401	2.649577482	3.054224903	2.105324416	1.70359585	1.401876972	3.272701406	1.803122357	0.749588951	0.224755335	0.559371934	1.764279533	3.814210501	4.110106006	2.953698882	0.162704948	2.184721281	1.096877474	2.211043742	0.142147564	6.908066544	0.400548788
hsa-miR-6861-5p	1.551283613	-1.420064713	0.464771266	-0.330000453	0.380099036	-0.75071922	-0.852466522	0.917835578	-0.269413578	0.81886533	4.685906959	-0.635013101	-0.281074482	0.856840731	0.350631719	-0.477822471	-0.239687079	1.169842469	-0.613965767	-1.470687594	2.178643636	2.471575944	-0.843057145	-0.139262805	1.786484793	4.363300803	0.070996424	0.916101154	0.607929185	1.854710001	1.558666634	3.497919266	0.971460195	1.805659621	0.533977926	-0.144252194	0.022860085	1.859414094
hsa-miR-7114-5p	-0.361369422	-1.082897555	0.113092133	-0.653841604	0.046600133	0.173035767	2.744203382	0.13460269	-1.656253964	2.717520671	1.326273389	4.446095364	0.112265518	1.403601507	-0.490994552	-0.833285384	0.652095928	2.458583694	0.36936043	-0.608879209	2.569343575	1.817331021	-0.338326521	0.025388849	2.316194297	1.156365558	2.97335807	1.223976899	-0.173623369	0.333889891	-0.440648079	2.180147606	0.460142577	1.365125497	1.940747038	0.467918522	-0.233583228	0.100510715
hsa-miR-8089	1.77628981	-0.552171757	-0.041357933	-0.880048316	-0.734834588	0.676181346	-0.359960109	0.929000992	-1.144893774	0.969117824	1.374223857	1.063524824	-0.220114703	0.874389226	0.794304796	-2.175014316	-0.79739565	2.569177256	4.054076608	-1.192163708	3.0273238	2.407634598	-0.551410513	1.406452619	1.458522492	1.208193367	1.461270757	1.17408158	0.318848929	1.30857438	1.179439799	-0.496478633	0.79579177	1.452922033	1.693201764	1.302166743	0.512059171	-0.698376424
hsa-miR-652-3p	1.069120408	-0.621815388	1.304030552	-0.404682867	-0.879962698	-0.044110455	-0.135046598	0.208749239	-0.70386642	4.802112075	0.228948568	1.676372984	0.317275478	0.130682294	-0.362381242	-0.673408727	-0.734509996	1.860633792	1.769486939	4.645143413	0.732865655	0.335896489	1.201312267	-0.545930768	0.659731956	0.990664424	0.070269504	3.328090272	2.472759248	-0.597792024	-0.226765805	-1.279616989	0.128034872	0.350070463	-0.062694315	0.46178329	1.552318988	-1.235074623
hsa-miR-4281	0.185310494	0.087333424	-0.148651397	-0.131849224	0.432557932	0.08324351	-0.332205726	-0.147466163	-0.046077527	-0.753679965	0.888535352	-1.329131077	-1.358760437	-0.506942024	-0.172649531	-0.985786061	-0.243657367	-0.073594665	-0.197455807	-1.082081785	-0.049929295	-0.285734102	-0.60340802	-0.878966938	-0.003128862	0.403568361	0.25749545	-0.268926157	0.216529038	0.3203374	0.229904745	-0.112660477	0.374286994	-0.329152297	-0.838465531	-0.810751458	-0.188777853	0.168657502
hsa-miR-101-3p	-0.216051604	0.043809972	0.366330842	0.630634839	-0.679922871	0.023685453	0.166799345	-0.019987009	-0.367496476	-2.173304487	-0.716378883	-0.683545625	-2.438018741	-1.18932775	-3.132154614	-1.251599977	-1.069224615	-1.958305817	-1.943994169	-2.769472208	-1.194558313	-0.671160318	-3.785427395	-2.587828776	-2.008001777	-1.054403987	-1.21373952	-2.391144374	-3.897134035	-1.287973346	-2.359646978	-3.069344806	-2.543143051	-1.952808024	-3.561017101	-2.815817697	-1.291210274	-2.004598015
hsa-miR-4270	-0.189687608	0.666155974	-0.412055742	-0.63495454	0.625329551	0.596799586	-0.300506692	-0.224709025	-0.212893503	-1.180635027	0.716638856	-1.690955064	-1.903291047	-0.829375118	0.657880241	-1.290829937	-0.143438464	-0.306487174	-0.524015444	-0.914434366	-0.086469532	-0.25605898	-0.9252531	-1.399335852	0.555554427	0.522986854	0.411345981	-0.452856871	-0.719008551	0.091922472	-0.226539543	-1.653074582	-0.064871381	-0.288034823	-0.771982673	-0.822889869	-0.626742024	0.115443359
